year,K2,Kangchenjunga,Lhotse,Makalu,Cho Oyu,Dhaulagiri I,Manaslu,Nanga Parbat,Annapurna I,Gasherbrum I,Broad Peak,Gasherbrum II,Shishapangma,Everest
2019,,3,1,4,1,,1,2,,,,,,12
2018,2,,1,1,1,2,2,1,,,,,,5
2017,,,,,,1,1,2,,,,,,6
2016,,,1,2,,2,1,,,,,,,7
2015,,,2,,,,1,,,,,,,17
2014,1,3,1,1,,5,1,12,,,,,,16
2013,2,5,1,1,,3,,,,,,,,1
2012,1,,2,,,,13,,,,,,,8
2011,,,,1,3,,4,,,,,,,11
2010,2,,1,1,2,7,3,,,,,,,5
2009,1,,1,1,2,2,3,2,,,,,,3
2008,11,,,2,2,2,2,,,,,,,4
2007,2,1,1,1,,3,,,,,,,,7
2006,4,,1,1,1,,1,,,,,,,11
2005,,,,2,1,,,,,,,,,6
2004,7,,,,1,,,,,,,,,7
2003,1,,2,1,3,,,,,,,,,4
2002,2,1,,1,2,,,,,,,,,3
2001,1,,,1,1,4,1,,,,,,,5
2000,,1,1,1,6,2,,,,,,,,2
1999,1,2,,2,1,2,,,,,,,,4
1998,,2,,,3,4,2,,,,,,,4
1997,,,1,3,,,2,,,,,,,9
1996,2,,,1,3,,1,,,,,,,15
1995,8,3,,1,,2,2,,,,,,,3
1994,5,3,,,3,2,,,,,,,,5
1993,5,,,,,1,2,,,,,,,8
1992,1,3,,,1,3,2,,,,,,,5
1991,,3,,2,2,,2,,,,,,,2
1990,,,,,1,2,6,,,,,,,4
1989,1,3,1,,1,6,1,,,,,,,8
1988,,1,,1,2,,,,,,,,,10
1987,1,4,5,,,,1,,,,,,,4
1986,14,1,1,1,1,1,2,,,,,,,4
1985,1,2,1,,,,2,,,,,,,7
1984,,,,1,,1,,,,,,,,8
1983,,,,2,,,3,,,,,,,3
1982,12,,,1,1,,3,,,,,,,11
1981,,1,2,,,1,,,,,,,,1
1980,,2,2,,,1,,,,,,,,3
1979,2,,,,,3,1,,,,,,,6
1978,1,,,1,,5,,,,,,,,2
1977,,1,1,,,,,,,,,,,1
1976,,,,1,,,,,,,,,,2
1975,,,,,,5,,,,,,,,6
1974,,,1,,,,1,,,,,,,1
1973,,1,,1,,,,,,,,,,1
1972,,,,,,,17,,,,,,,1
1971,,,,,,,1,,,,,,,7
1970,,,,,,,,,,,,,,1
1969,,,,,,7,,,,,,,,
1968,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,1
1965,,,,,,,,,,,,,,
1964,,,,,2,,,,,,,,,
1963,,,,,,,,,,,,,,1
1962,,,,,,,,,,,,,,1
1961,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,2
1959,,,,,4,,,,,,,,,
1958,,,,,1,,,,,,,,,
1957,,,,,,,,,,,,,,
1956,,,,,,1,,,,,,,,
1955,,1,,,,,,,,,,,,
1954,1,,,1,,1,,,,,,,,
1953,1,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,1
1951,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,
1941,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,
1939,4,,,,,,,,,,,,,
1938,,,,,,,,,,,,,,
1937,,,,,,,,,,,,,,
1936,,,,,,,,,,,,,,
1935,,,,,,,,,,,,,,
1934,,,,,,,,,,,,,,1
1933,,,,,,,,,,,,,,
1932,,,,,,,,,,,,,,
1931,,3,,,,,,,,,,,,
1930,,1,,,,,,,,,,,,
1929,,1,,,,,,,,,,,,
1928,,,,,,,,,,,,,,
1927,,,,,,,,,,,,,,
1926,,,,,,,,,,,,,,
1925,,,,,,,,,,,,,,
1924,,,,,,,,,,,,,,4
1923,,,,,,,,,,,,,,
1922,,,,,,,,,,,,,,7
1921,,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,
1919,,,,,,,,,,,,,,
1918,,,,,,,,,,,,,,
1917,,,,,,,,,,,,,,
1916,,,,,,,,,,,,,,
1915,,,,,,,,,,,,,,
1914,,,,,,,,,,,,,,
1913,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,
1910,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,
1905,,3,,,,,,,,,,,,
1904,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,
