year,Avengers: Endgame,Lion King,Toy Story 4,Captain Marvel,Spiderman: Far from home,
22/02/2019,,,,,,
23/02/2019,,,,,,
24/02/2019,,,,,,
25/02/2019,,,,,,
26/02/2019,,,,,,
27/02/2019,,,,,,
28/02/2019,,,,,,
01/03/2019,,,,,,
02/03/2019,,,,,,
03/03/2019,,,,,,
04/03/2019,,,,,,
05/03/2019,,,,,,
06/03/2019,,,,,,
07/03/2019,,,,61715051,,
08/03/2019,,,,52872536,,
09/03/2019,,,,38845836,,
10/03/2019,,,,10986773,,
11/03/2019,,,,14641119,,
12/03/2019,,,,8586183,,
13/03/2019,,,,9248435,,
14/03/2019,,,,19036521,,
15/03/2019,,,,29418618,,
16/03/2019,,,,19532991,,
17/03/2019,,,,5195836,,
18/03/2019,,,,7603865,,
19/03/2019,,,,4567773,,
20/03/2019,,,,4226298,,
21/03/2019,,,,9120858,,
22/03/2019,,,,15125497,,
23/03/2019,,,,10025438,,
24/03/2019,,,,2896405,,
25/03/2019,,,,4331261,,
26/03/2019,,,,2809109,,
27/03/2019,,,,2519412,,
28/03/2019,,,,5499784,,
29/03/2019,,,,9089329,,
30/03/2019,,,,6075151,,
31/03/2019,,,,1658844,,
01/04/2019,,,,2522851,,
02/04/2019,,,,1719827,,
03/04/2019,,,,1579962,,
04/04/2019,,,,3447080,,
05/04/2019,,,,5360651,,
06/04/2019,,,,3624072,,
07/04/2019,,,,865424,,
08/04/2019,,,,1382319,,
09/04/2019,,,,896187,,
10/04/2019,,,,886285,,
11/04/2019,,,,2214236,,
12/04/2019,,,,3865716,,
13/04/2019,,,,2531575,,
14/04/2019,,,,884741,,
15/04/2019,,,,1297834,,
16/04/2019,,,,940412,,
17/04/2019,,,,1278038,,
18/04/2019,,,,3185900,,
19/04/2019,,,,3650729,,
20/04/2019,,,,2268981,,
21/04/2019,,,,,,
22/04/2019,,,,1349021,,
23/04/2019,,,,1477687,,
24/04/2019,,,,1402687,,
25/04/2019,,,,1267909,,
26/04/2019,157461641,,,2569646,,
27/04/2019,109264122,,,3544694,,
28/04/2019,90389244,,,2198411,,
29/04/2019,36874439,,,696976,,
