year,Captain Marvel,Dumbo,Shazam,Pokemon,John Wick,Aladdin,Godzilla,Secret Life of Pets 2,Toy Story 4
2019-03-08,61715051,,,,,,,,
2019-03-09,52872536,,,,,,,,
2019-03-10,38845836,,,,,,,,
2019-03-11,10986773,,,,,,,,
2019-03-12,14641119,,,,,,,,
2019-03-13,8586183,,,,,,,,
2019-03-14,9248435,,,,,,,,
2019-03-15,19036521,,,,,,,,
2019-03-16,29418618,,,,,,,,
2019-03-17,19532991,,,,,,,,
2019-03-18,5195836,,,,,,,,
2019-03-19,7603865,,,,,,,,
2019-03-20,4567773,,,,,,,,
2019-03-21,4226298,,,,,,,,
2019-03-22,9120858,,,,,,,,
2019-03-23,15125497,,,,,,,,
2019-03-24,10025438,,,,,,,,
2019-03-25,2896405,,,,,,,,
2019-03-26,4331261,,,,,,,,
2019-03-27,2809109,,,,,,,,
2019-03-28,2519412,,,,,,,,
2019-03-29,5499784,15254549,,,,,,,
2019-03-30,9089329,17511870,,,,,,,
2019-03-31,6075151,13224329,,,,,,,
2019-04-01,1658844,2881084,,,,,,,
2019-04-02,2522851,4702332,,,,,,,
2019-04-03,1719827,2385567,,,,,,,
2019-04-04,1579962,2087758,,,,,,,
2019-04-05,3447080,4941044,20351441,,,,,,
2019-04-06,5360651,7827679,19524162,,,,,,
2019-04-07,3624072,5445244,13629723,,,,,,
2019-04-08,865424,937127,3051246,,,,,,
2019-04-09,1382319,1743413,4911092,,,,,,
2019-04-10,896187,936514,2607476,,,,,,
2019-04-11,886285,880652,2372873,,,,,,
2019-04-12,2214236,2274679,6347368,,,,,,
2019-04-13,3865716,4159209,11001190,,,,,,
2019-04-14,2531575,2970654,7104956,,,,,,
2019-04-15,884741,906682,2098212,,,,,,
2019-04-16,1297834,1421289,3202526,,,,,,
2019-04-17,940412,828974,1919686,,,,,,
2019-04-18,1278038,1134261,2526405,,,,,,
2019-04-19,3185900,2732619,6139281,,,,,,
2019-04-20,3650729,2489686,6563790,,,,,,
2019-04-21,2268981,1398955,3761437,,,,,,
2019-04-22,,,,,,,,,
2019-04-23,1349021,980947,1883016,,,,,,
2019-04-24,1477687,799018,1664054,,,,,,
2019-04-25,1402687,513451,1016853,,,,,,
2019-04-26,1267909,396972,627940,,,,,,
2019-04-27,2569646,915292,1533795,,,,,,
2019-04-28,3544694,1477657,2428759,,,,,,
2019-04-29,2198411,1100333,1621349,,,,,,
2019-04-30,696976,215122,326692,,,,,,
2019-05-01,829625,359631,551696,,,,,,
2019-05-02,587159,240295,358804,,,,,,
2019-05-03,536460,201704,292968,,,,,,
2019-05-04,1259315,333779,623726,,,,,,
2019-05-05,1980908,668386,1134580,,,,,,
2019-05-06,1042021,509443,746652,,,,,,
2019-05-07,283419,103439,195095,,,,,,
2019-05-08,394134,156438,294392,,,,,,
2019-05-09,276734,118944,207403,,,,,,
2019-05-10,235530,88268,123160,,,,,,
2019-05-11,485636,130798,275644,20575704,,,,,
2019-05-12,803493,259644,469244,20365840,,,,,
2019-05-13,557267,353809,288298,13423698,,,,,
2019-05-14,152346,50318,73170,3693215,,,,,
2019-05-15,195088,64914,105317,5337617,,,,,
2019-05-16,143193,54460,72021,3070078,,,,,
2019-05-17,115417,42875,54411,2720694,22636381,,,,
2019-05-18,194708,76522,186133,6247867,19613248,,,,
2019-05-19,337241,129381,319193,10781054,14568438,,,,
2019-05-20,204049,103399,155384,8079238,5722448,,,,
2019-05-21,77928,45846,48480,2495118,6495961,,,,
2019-05-22,75258,32893,46502,2757571,4141103,,,,
2019-05-23,64358,27823,37485,1670035,3461362,,,,
2019-05-24,52291,27442,35476,1604893,6601726,31358935,,,
2019-05-25,111805,325232,70571,3408313,8968962,30013295,,,
2019-05-26,155805,375796,114182,5134909,9016988,30128699,,,
2019-05-27,140669,381487,102301,4873037,6386621,25305033,,,
2019-05-28,86448,110327,82532,3831142,,,,,
2019-05-29,,,,,3198330,12014982,,,
2019-05-30,34748,46208,32243,1740023,2126178,7455705,,,
2019-05-31,28717,38848,27757,1116684,1715066,6420525,19476894,,
2019-06-01,30889,52571,25258,1009481,2975458,11855840,16136293,,
2019-06-02,62905,240601,163192,1844954,4604531,17254688,12163106,,
2019-06-03,90376,264996,210946,2859108,3505470,13730016,3852096,,
2019-06-04,35585,91949,113041,2249820,1290062,4699418,5532586,,
2019-06-05,17518,32779,41034,751621,1800742,7797927,3247527,,
2019-06-06,21185,29595,50419,1234216,1235144,5101598,2648595,,
2019-06-07,19436,30627,44418,851242,1198779,4749265,4187861,16339735,
2019-06-08,15617,41753,51080,694547,1929083,6975818,6323831,17030935,
2019-06-09,44487,33137,51218,857963,3099508,9756786,4938715,13282010,
2019-06-10,69695,49707,72282,1276803,2388107,7948364,1674271,4600840,
2019-06-11,50291,24279,51157,1053386,889406,3193181,2470044,7158305,
2019-06-12,20443,11776,19845,452549,1244769,4698256,1585122,4458830,
